Review,deskripsi_negatif,deskripsi_netral,deskripsi_positif,harga_negatif,harga_netral,harga_positif,pengiriman_negatif,pengiriman_netral,pengiriman_positif,pelayanan_negatif,pelayanan_netral,pelayanan_positif,kualitas_negatif,kualitas_netral,kualitas_positif,lain-lain
bahan wolfish suai terang tidak enak jahit suai muka kurang kualitas produk standar harga produk standar cepat kirim standar respon jual standar,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
suka bahannya encer mngkerut pngiriman cepat,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
tidak foto lanjur ambil oke catat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
pesan suai tidak awai,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
suai dateng suai dipakai terawang modelnya adiwarna baik motifnya cantik harga segitu puas packaging tarik gaa kepake diakalin pakai ciput ninja nilai barang biasa,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
barang baik murah khayal dipakainya cepat respon oke bangetlah apik pakai,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
barangnya bagus hsuejsnxn djkskwlwndjdjdndne cndnndn ncncjenekkdjxnx dhenendncjdjendndn endxjjx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
barang bagus product bagus kualitas lebih harga proses cepat recommended seller,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
dipict asli pendek bahanya lumayan biasa,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
baguus barangnya suka kirim cepat sukses bahagia bund tidak suai fotonya dicuci kualitas produk baik produk original cepat kirim baik respon jual baik,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
tipis tekstil tidak halus oke gantian jilbab adam gemuk plz pesan pendek depannya,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
suka benda bagus harga produk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
kecewa tidak suai kecewa warna pesan tidak suai doa,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
pngirimannya cepat warna kubeli dtang tidak suai jual rugi akunya,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
benda bagus harga nilai produk fungsi seller salah kirim warna depannya awas tidak warna dipesan plis kirim warnanga,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
jilbab instan shalwa bagus suai nyaman pakainya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
benda baik antar cepat dibungkus rapi apik haru balut paketnya dihargai foto hp masukkan laptop over all joss gandos kayun mampir untung peroleh layan,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
puas barang bagus suai pesan barang kirim ulang ekpedisi tinggal mobil trmksih,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
pendek tidak bahan bagus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
oke kerudung hijau lumayan foto deskripsi,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
puas cukup tipis bahannya enteng cocok,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
bagus barangnya lambat kirim bagus barangnya lambat kirim,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
paket barang aman tidak kurang kemas biasa lumayan kilat kecil tidak suai pic cocokny sd,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tipis suai harga mkasih,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
kemas rapi kualitas bahan tidak terawang kasar kaku laras harga baik dipakai wajah oval ujung tali tidak dijahit kirim kilat,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
trx s hasil sn sisa saldo kualitas produk kurang baik,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
barang tidak bagus bahan tipis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
barang oke kemas kirim bangeet,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
kemas rapi kemas oke laras pesan foto asli dung,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
gambar asli kirim super ekspres nyaman wajib daily simpel elegan very recommended chic seller,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
bahan tipis jahit dalamnya tidak rapi talinya mudah lepas jahit,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
kerudung harganya mahal kualitas produk jelek,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
dipoto cak besar datengnya kecil kacau,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bagusi nilai produk biasa harga produk standar,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
catat corak warna awai tidak suai dipesen dusty dikirim baby pink,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
puas barang suai pesan mantap,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
barang dateng pendek belakangnya pendek tidak tutup belakangnya,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
aga kecewa corak putihnya putih bersih putih rangka,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barang oke bagus warna moca biarsamaan bocil kirim coksu kirim cek suai pesan,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
puas biaya produknya foto bersih warnanya bagus harha cocok jual,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
suka bahannya bagus bungkusnya cantikk pakai dompet pakenya nyaman pesan x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
bahanya kurang suka mayan bagus model jilbabnya motifny suka kualitas produk baik produk original harga produk baik cepat kirim baik respon jual baik,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
angan angan jual engga warna tidak suai pashmina ukur alpa baik beda doang inimah bedanya dideskripsi dateng doang lafal belanja tidak amanah,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
kainnyaa tidak tebal suai harga,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
kerudungx kecill bahaan tipiis respon kurang baik,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
kecewa kerudung alit muat sd orang dewasa adi ditingkatkan dicek kirim,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
ukur anakanak semuaa kualitas produk tidak bagus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bagus jilbab bagus suai pesan respon cepat ramah recomended,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
bagus warna rose pinknya talinya bentuknya beda gambar aslinya runcing diblakang,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
belah krudung pakai ngatung murah cih tidak gto awai,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
paketnya bumi amaann kirim cepat baik seller,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
pesan semalem berkah seller sukses kedepannya,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
luamayan laah kirim kilat kurir,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
puas barang cepat cek suai pesan puas sucses tokonya maju,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
barang kurang puas jahit berantak kualitas produk kurang baik,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
kemas apik kemas oke suai pesan gambar bersih dung,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
wagelaseh aksi cuy kirim pagi burit suai recommended suka,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
bagus benda lumayan bagus suka txs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
bagus bahannya bagus umii aman makasii mangat ehehe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
cht tidak dibalas online cepat kirim cepat kirim tidak baik respon jual tidak baik,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
kurang baik respon jual standar,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
jilbabnya tidak suai kecil awai,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
kirim oke harga standar respon jual lumayan model bergo foto,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
bagus stuff barangnya cepat kdg corak bayan senang berat tk ngrlipet bgn bwhnya pkn pniti,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
kualitas produk baik cepat kirim baik,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
bagus suai diapakai harga segitu bagus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
alahmdulilahnpaket warna cantik terima kualitas produk baik produk original harga produk baik cepat kirim baik respon jual baik,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
jilbab kegedean talinya dibawah mulas,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
kirim oke model jilbabnya lumayan suai foto harganya mahal,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
kirim lumayan oke layan standar jilbab tidak suai harga,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
repon cepat benda bagus repon cepat barang bagus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
jilbab warna cream terawang alir da jilbab biru lumayan gelita tidak bentuk,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
layer kurang tidak digambar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasmina pink warnanya lumayan gambar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
laksana langkah obat obat puskesmas bantu lembah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
kerudungnya oke harga mahal lumayan foto,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
lumayan lumayan bagus laras pesan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
paket diterima kirim lumayan cepat nilai barang standar laras harga bordir ditalinya putus warna dusty dusty baby pink warna mocca warna thaitea,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
puas barang suai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bagus selernya santun jilbab murah bagus warnanya suai doa,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
barang tidak suai dengaan gambar bahannya tidak tebal tidak papa suka harga barang standar,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
catat corak hitam model beda warna coksu bhannya tipis oke adaa aib,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
kualitas barang lumayan bagus kemas cukup bagus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
pengemasaan cepat aman suai super tipis tidak bekah kasar,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
dtng kotak bergo kecewa late respon sellernya salah kirim seller niat baik tukar seller tidak tanggung ongkirnya seller tidak merespon,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
barang bagus harga jangkau kualitas oke produk suai dipesan fungsinya pastinya suai,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
barang tidak cukup mesan aneh pesan nyesal,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
kualitas produk baik produk original harga produk baik kilat kirim baik respon jual baik,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
sesal harga murah alit cocoknya baik deskripsinya tambahin kerudung kerudung,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
bagus produk tidak sesal belanja barang laras pesan berkah biar kedepannya produk produk biar tidak susah gagar suka suka suka suka suka suka suka suka lov,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
tipis lumayan hari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
terparahh janagan sinih mikirin kudung lihat atasnya kaya bahan nempel tidak asli pic baik tutup jual kaya tipu custemer komplen habis abisan,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
barang tidak baik jelek brbeda fotonya bahan panas tidak halus,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
kualitas suai harga kirim cepat kemas baik smg makon sukses kedepannya,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
barang bagus barang suai terima juragan,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
puas puas bidang packingan dn bahannya catat respon bagus pelapaknya smga dikirim kurangnya,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
bahan tipis tali lubang muka tidak sinkron tidak niat kerudung tidak suai gambar dosa,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bagus hijabnya kemas super cepat penguriman jugaa cepat terima seller hijab bergo diamond layer pesan warna milo dikasi coksu,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
senang respon seller ramah amanah nghak kuatir catat aib salah kirim barang diganti gratis bea kirim barang premi nghak foto cuss customer nunggu peroleh seller moga rejekinya yach puas nilai produk bagus produk original harga produk baik kilat kirim baik respon jual baik,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
semogaa suka jilbabnya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bahan bagus bhaan bagus murah pilih warna sukses pelapak buka lapak,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
tidak suai gambar barang kecil kecewa,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bagus kerudung tidak kaleng kaleng harga murh barang tidak murah trnyta lbih bagus realita bagus materi tebell bagus suka bkal catat dehh kasi ekstra nnti min he kualitas barang baik barang original harga barang baik cepat kirim baik respon jual baik,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
lumayan benda sesue pesan materi tipis lumayan bagus,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
alpa masukkan bakat alamat bait ngejar flash deal rb gidik tidak alamat kirim jual inbox alamat no respon ttp kirim alamat alpa kirimin pashminanya rumah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
kirim lambat,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
kalinyaa bahan adem jahit cukup rapi ngerasa beda bahan warna misty rose gapapa enak dipakai antar cepat kualitas barang bagus barang original cepat kirim bagus respon jual baik,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
bergonya pendek pesan orang,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
warna bahannya tidak baik cust tidak ambilnya tingkatkan kualitas teliti,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
puas bahan baik warna suai gambar bersih,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bakir bakat minyaknya kemas pakai plastik kresek,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
kemas maklumi salah warna kaos kaki army dikasi silver maklumi kurang barang chat tidak aktif telfon nomer jual nunggu x diangkat respon admin tidak tenang beli males,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tidak laras ekspektasi kecil jilbabnya warnanya kurang suai,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nggk percaya benda orang dikurangi disuruh catat dicatatan laras ditulis tidak dikirim hahah bohongin orang untung nggk berkah ituu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
baik sesui pesan bagus sesui pesan,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
bergo bahannya bagus suai dengam harga kirim cepat sukses owner,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
kecil customer gamau pesan gede gilir pesan eehh kecil ssik gamau dehh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
dalu gap ukur harga tidak ukur tidak adekuat kasihkan customer dikasihkan bilang tidak uangnya dikembalikan mbakk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tiidak suai harap kecewa tidak bagus gambarnya,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
awai bahan jelek tipis pesan corak coksu mustard,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
bagus barang suai gambar bahan oke mama suka terima juragan,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
bergo suka proses kirim terima,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
barang bagus lucu jilbabnya bagus warnanya oke suai,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
murah kecewa ukur alit jual bayan tidak terang ukur dewasa,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
tipis tidak pasmina ket bahannya diampmd italiano,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
salah warna tidak kepake cukup belanja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
putih bagus cak besar jumbo dusty overall bahan bagus lumayan laras harga peroleh bagus job perbaiki kaya kualitas barang baik produk original harga produk baik cepat kirim baik respon jual baik,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
puas bagus suka kerudung terima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bahan jasa harga segitu worth it jahit apik suai dimuka tidak dibentuk bakir divideo disarankan jasa alat angkut cepat sg kilat lafal deskripsi pakai jasa alat angkut nyampenya,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
bagus suai buatku harga rupa en suai pakenya cepat tidak awai catat,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
kirim cepat buka masi top,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ukur bergo lumayan suai urai bagus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tidak suai gambar layer pendek,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
suai harga numayan hari,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
kasi prodeuk tidak memuas selaki cepak dpn da bhan tipiss,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
jilbabnya bagus belakangnya pendek suai harga segitu,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
pesan kualitas menurunn beda suai awall belii jilbabnya bahyak bangeet komplen barang dikirim tidak suai kotor jamur salahh ukur pasmina ukur bedaa bros kurang rapii not rekomen,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
belanja tidak percaya barang kirim barang habis laras dimintain dana dikasih bahan tidak respon jual tidak baik,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
harga produk baik suai pesan bahan bagus tebal renda lepas barang tahan kurir overload,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
belakangny gthu costumer kecewa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
kerudung cantik kerudung cantik cepat besok ternyanta terima,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
bagus bahannya bagus umii senang makasii mangat ehehe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
bahan suai harga kirim cukup kecewa,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
jilbab materi bagus tidak bahang pendek ukur dewasa laras jahit rapi kirim cepat peroleh,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
pesenya hutam dikirimya navy tidak konfirmasi baby pinknya beda,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
hijabnya bagus hijabnya bagus corak coklat muda kirim pakai jnt cepat awalny seller smp aras ditentukan kedepannya baik,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
warna army coklat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
barangnya bagus barang bagus kualitas oke harga sahabat cepat produk oke fungsi nyaman dipakai,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
kurang puas barang suai foto pendek terima kurir,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kecewa jilbab taliny indra dengar,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
mintak hitam kirim coklat pundek pol yng bagus pikir nilai barang tidak baik barang tidak original harga barang tidak baik,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
tidak sesui liner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
barang smpii produk bagus suai dipesan bahan bags kirim kualitas produk baik,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
kerenn suka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
kecewa tidak suai foto,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bahannya baik suai catat bahannya bagus lembut nyamana,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
asli bagus kualitas produk baik produk original harga produk baik cepat kirim baik respon jual baik,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
cepat suka layan cukup baik,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
bagus dipakai wajahku tidak nampak tembem motif warnanya oke bahannya tipis terawang harga mahal turut,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
lumayan lumayan materi tipis,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
pesan hazel dikirimnya warna beri diginikan jual profesional,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
baguus barangnya suka kirim kilat sukses bahagia bund tidak laras fotonya dicuci nilai barang baik produk original cepat kirim baik respon jual baik,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
x pesan tidak kecewa suai seller kualitas produk baik respon jual baik,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
pakenya adem suka kirim cepat jual ramah terima bakca,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
barang jahit sobek,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
jilbab ketam kecil kurang pnjang,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
smp barangnya baik kecewa pendek kurang depannya ukur tidak laras tidak smp,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
pendek dikit pakai pendek hijab lumayan harga segitu,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
bergonya baik bahannya tebel respon jual baik pasminanya bagus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
cukup adem produk original,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
modelnya gambar kainnya nrawang overal bagus,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
bahannya bagus dingin warnanya cantik bangeet kualitas produk baik produk original harga produk baik cepat baik respon jual baik,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
pashmina adiwarna gambar bersih kirim cepat respon jual baik,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
bingkis suka seller kualitas produk bagus produk original harga produk baik,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
jilbab harganya mahal lumayan suai gambar,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
jilbabnya oke jilbabnya oke bahan bagus ukur suai baik packingnya tutup tidak pakai bungkus transparan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
sesuia pesan sesui pesan barang cepat spai,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
suai pesan an suai pesan kirim baik,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
lumayan bahannya oke laras pesan terima shoope,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
bahannya tidak tebal terawang okelah suai harganya kualitas barang biasa harga barang standar cepat kirim standar respon jual standar,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
barang baik licin cepat barang laras gambar,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
kian puluh hijab wanita cantuk senang produk produknya sukses hijab wanita cantik nilai produk baik produk original harga produk baik kilat baik respon jual baik,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
kirim super cepat harga suai jual,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tidak tas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
suai gambar warna suai suai pesan cepat prosesnya,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
terawang selapis doang bentuk bagus bahan bagus tipis lihat video,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
puas bahannya diganti spandek baik jatuh cukup harga jangkau,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
kualitas produk baik jahit rapi kirim cepat,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
bilang warna navy warna abu kecewa,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
kecewa kerudungnya cepak difotonya,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bagus bahannya warnanya senang pinggir rapet bordir dijait neci dimuka gabisa apik,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
benda cukup nyaman pakai puas nilai produk standar harga produk standar cepat kirim standar,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
god kualitas produk baik produk original harga produk baik respon jual baik,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
putih bagus gede jumbo dusty kurang overall bahan bagus lumayan suai harga terima bagus job perbaiki kaya kualitas produk baik produk original harga produk baik cepat kirim baik respon jual baik,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
cute kirim kilat warnanya baik suka pokonya,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
awai kerudung kecil kualitas produk tidak baik,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
